id_perfil,conocimiento_req,años_exp,titulo_requerido
1,Experiencia en producción,5,Licenciatura en Ingeniería Industrial
2,Manejo de inventarios,3,Técnico en Logística
3,Control de calidad,4,Ingeniero en Alimentos
4,Supervisión de personal,2,Diplomado en Gestión de Equipos
5,Procesamiento de frutas,3,Técnico en Procesamiento de Alimentos
6,Investigación y desarrollo,5,Doctorado en Ciencias Naturales
7,Manejo de inventarios,2,Técnico en Logística
8,Marketing digital,3,Licenciatura en Marketing
9,Contabilidad financiera,4,Licenciatura en Contaduría Pública
10,Gestión de personal,3,Licenciatura en Recursos Humanos
11,Mantenimiento de equipos,5,Ingeniero Mecánico
12,Normativas de seguridad,4,Diplomado en Seguridad Industrial
13,Gestión ambiental,3,Ingeniero Ambiental
14,Producción de frutas,5,Ingeniero Agrónomo
15,Recepción y almacenamiento,2,Técnico en Almacenamiento
16,Control de calidad,3,Técnico en Control de Calidad
17,Producción de mermelada,4,Ingeniero en Alimentos
18,Producción de frutas confitadas,3,Técnico en Procesamiento de Alimentos
19,Investigación y desarrollo,5,Doctorado en Ciencias Naturales
20,Logística y distribución,4,Licenciatura en Logística
