id_solicitud,id_vacante,est_solicitud,vacante_aplicada,horario_disponible,fecha_aplicacion,id_cand,id_curriculum
00240001,00200001,En proceso,Gerente de Producción,Lunes a Viernes de 8am a 5pm,2024-04-20,101,
00240002,00200002,En revisión,Jefe de Recepción,Lunes a Viernes de 9am a 6pm,2024-04-21,102,
00240003,00200003,Pendiente,Especialista de Control de Calidad,Lunes a Viernes de 7am a 4pm,2024-04-22,103,
00240004,00200004,Pendiente,Supervisor de Producción de Mermelada,Lunes a Viernes de 10am a 7pm,2024-04-23,104,
00240005,00200005,Pendiente,Técnico de Producción de Fruta Confitada,Lunes a Viernes de 8am a 5pm,2024-04-24,105,
00240006,00200006,Pendiente,Profesional de Investigación y Desarrollo,Lunes a Viernes de 9am a 6pm,2024-04-25,106,
00240007,00200007,Pendiente,Asistente de Logística y Distribución,Lunes a Viernes de 8am a 5pm,2024-04-26,107,
00240008,00200008,Pendiente,Operario de Marketing y Ventas,Lunes a Viernes de 9am a 6pm,2024-04-27,108,
00240009,00200009,Pendiente,Gerente de Finanzas y Contabilidad,Lunes a Viernes de 8am a 5pm,2024-04-28,109,
00240010,00200010,Pendiente,Jefe de Recursos Humanos,Lunes a Viernes de 9am a 6pm,2024-04-29,110,
00240011,00200011,Pendiente,Especialista de Mantenimiento y Reparación de Equipos,Lunes a Viernes de 8am a 5pm,2024-04-30,111,
00240012,00200012,Pendiente,Supervisor de Seguridad e Higiene,Lunes a Viernes de 9am a 6pm,2024-05-01,112,
00240013,00200013,Pendiente,Técnico de Gestión Ambiental y Sostenibilidad,Lunes a Viernes de 8am a 5pm,2024-05-02,113,
00240014,00200014,Pendiente,Profesional de Producción de Fruta Fresca,Lunes a Viernes de 9am a 6pm,2024-05-03,114,
00240015,00200015,Pendiente,Asistente de Recepción y Almacenamiento de Fruta,Lunes a Viernes de 8am a 5pm,2024-05-04,115,
00240016,00200016,Pendiente,Operario de Control de Calidad,Lunes a Viernes de 9am a 6pm,2024-05-05,116,
00240017,00200017,Pendiente,Gerente de Producción de Mermelada,Lunes a Viernes de 8am a 5pm,2024-05-06,117,
00240018,00200018,Pendiente,Jefe de Producción de Fruta Confitada,Lunes a Viernes de 9am a 6pm,2024-05-07,118,
00240019,00200019,Pendiente,Especialista de Investigación y Desarrollo,Lunes a Viernes de 8am a 5pm,2024-05-08,119,
00240020,00200020,Pendiente,Supervisor de Logística y Distribución,Lunes a Viernes de 9am a 6pm,2024-05-09,120,
